network_packet_size,protocol_type,login_attempts,failed_logins,unusual_time_access,ip_reputation_score,session_duration,network_traffic_volume,attack_detected
430,UDP,9,2,0,0.5423,19,729,0
1280,HTTP,1,0,0,0.1922,120,1862,0
706,UDP,1,1,0,0.2251,67,3809,0
961,UDP,1,0,0,0.1661,72,4508,0
353,TCP,2,0,0,0.1104,36,4273,0
995,TCP,2,0,0,0.043,135,3703,0
954,HTTP,1,0,0,0.2323,113,3641,0
190,HTTP,1,1,0,0.2321,92,1196,0
1402,HTTP,2,1,0,0.1726,136,3888,0
1442,TCP,3,0,0,0.1604,46,872,0
485,HTTP,3,1,0,0.0458,157,3571,0
359,TCP,2,0,0,0.0663,84,1912,0
604,HTTP,2,1,0,0.2491,155,3915,0
330,TCP,2,1,0,0.2438,161,2163,0
829,UDP,1,0,0,0.0154,36,2625,0
358,TCP,7,2,0,0.5845,29,461,0
170,UDP,3,1,0,0.1815,89,4016,0
2339,ICMP,21,20,1,0.9725,5,88958,1
8268,ICMP,10,7,1,0.8942,2,373383,1
896,HTTP,3,1,0,0.1438,164,1290,0
301,UDP,1,1,0,0.0891,173,4474,0
1414,TCP,3,0,0,0.1116,71,1321,0
784,UDP,7,5,0,0.603,8,277,0
1160,HTTP,2,0,0,0.2148,156,4300,0
1129,HTTP,3,1,0,0.2216,70,4865,0
351,UDP,1,1,0,0.2455,68,2848,0
819,UDP,1,0,0,0.1315,74,4951,0
178,TCP,1,0,0,0.1837,172,2616,0
211,UDP,1,1,0,0.0489,78,534,0
752,TCP,5,2,1,0.4678,20,794,0
667,ICMP,5,2,0,0.6553,10,266,0
433,TCP,1,1,0,0.2112,83,3701,0
935,TCP,2,1,0,0.1915,51,2820,0
3252,TCP,22,18,1,0.9366,2,256765,1
348,UDP,1,0,0,0.0193,101,2232,0
469,HTTP,3,1,0,0.0712,180,1552,0
1191,UDP,1,0,0,0.0699,65,3934,0
206,ICMP,8,4,0,0.6473,29,603,0
7196,TCP,20,14,1,0.8749,2,490879,1
1172,HTTP,2,1,0,0.1122,43,4617,0
200,HTTP,3,1,0,0.1453,174,4072,0
6079,TCP,21,13,1,0.9632,6,450367,1
737,TCP,8,3,0,0.4962,22,588,0
1318,TCP,1,0,0,0.0499,50,2020,0
1445,HTTP,2,1,0,0.1335,118,4500,0
1319,TCP,2,0,0,0.0449,140,4250,0
261,HTTP,1,0,0,0.048,164,2567,0
302,UDP,2,1,0,0.0534,44,4209,0
470,UDP,4,4,1,0.4653,19,545,0
313,ICMP,4,2,1,0.5479,25,700,0
1019,HTTP,1,0,0,0.1202,114,3579,0
809,TCP,3,1,0,0.1141,150,4961,0
338,TCP,3,1,0,0.1913,157,4650,0
449,TCP,7,5,0,0.6638,30,554,0
705,TCP,1,1,0,0.0692,122,1600,0
174,ICMP,8,4,1,0.5376,23,129,0
86,HTTP,2,0,0,0.1613,143,849,0
799,UDP,6,4,0,0.5767,29,224,0
2099,TCP,12,13,1,0.9189,7,289101,1
1260,HTTP,2,0,0,0.2339,85,1681,0
468,TCP,8,4,1,0.4775,11,668,0
859,TCP,1,1,0,0.0836,113,2632,0
239,UDP,2,0,0,0.0126,176,4834,0
795,UDP,4,5,0,0.6515,19,408,0
69,TCP,1,1,0,0.1396,64,1402,0
874,UDP,1,0,0,0.1446,41,3970,0
754,UDP,1,1,0,0.0852,154,4996,0
1089,UDP,1,1,0,0.1809,85,4867,0
1058,TCP,2,1,0,0.1672,133,1852,0
534,HTTP,1,0,0,0.1941,134,1631,0
1047,TCP,2,0,0,0.0043,90,4480,0
1056,HTTP,2,0,0,0.1288,70,1037,0
785,UDP,1,1,0,0.2305,72,590,0
929,TCP,2,0,0,0.1198,172,4553,0
465,HTTP,3,1,0,0.0206,77,2524,0
96,UDP,1,0,0,0.0018,52,2824,0
609,TCP,1,1,0,0.1703,125,4482,0
211,UDP,1,1,0,0.0475,83,4380,0
223,UDP,9,2,0,0.6079,12,476,0
925,HTTP,1,1,0,0.1557,65,3931,0
599,TCP,4,2,1,0.4822,22,620,0
596,UDP,1,0,0,0.0548,179,4736,0
350,ICMP,7,5,1,0.4519,18,239,0
8400,TCP,20,8,1,0.769,3,397483,1
1103,UDP,3,0,0,0.2008,103,1989,0
650,ICMP,9,2,1,0.5753,25,661,0
543,UDP,2,0,0,0.0702,83,558,0
631,UDP,3,1,0,0.0471,162,2468,0
8160,TCP,13,18,1,0.9293,1,149044,1
520,TCP,5,2,0,0.5553,7,565,0
1131,UDP,2,1,0,0.0244,145,3112,0
4440,ICMP,25,16,1,0.7884,2,125275,1
713,TCP,1,1,0,0.2382,68,1393,0
1260,UDP,3,0,0,0.0142,160,1156,0
1185,TCP,1,1,0,0.1793,152,2652,0
819,TCP,2,1,0,0.1375,141,3153,0
754,ICMP,9,4,0,0.6341,24,305,0
383,TCP,2,1,0,0.2224,93,2408,0
674,HTTP,2,0,0,0.1618,102,3340,0
285,UDP,3,1,0,0.0287,101,2352,0
4031,TCP,11,11,1,0.8239,1,315961,1
106,TCP,1,0,0,0.033,51,2692,0
114,TCP,2,1,0,0.2474,68,3772,0
329,HTTP,3,0,0,0.0828,158,1327,0
1487,HTTP,1,0,0,0.0162,80,3274,0
76,HTTP,3,0,0,0.2141,98,2526,0
91,TCP,2,1,0,0.2033,91,1376,0
556,HTTP,2,1,0,0.2441,112,4454,0
804,HTTP,1,0,0,0.2463,65,2439,0
543,ICMP,8,2,1,0.4994,14,551,0
170,UDP,2,0,0,0.1074,139,1628,0
1087,HTTP,1,1,0,0.087,31,2430,0
1335,HTTP,1,0,0,0.2162,75,3877,0
268,TCP,1,1,0,0.1947,129,1276,0
980,TCP,2,1,0,0.0594,170,4830,0
284,UDP,1,0,0,0.193,145,4246,0
727,TCP,5,2,0,0.4811,22,762,0
1368,UDP,1,1,0,0.1379,139,579,0
819,UDP,2,0,0,0.1526,131,1132,0
1068,HTTP,2,0,0,0.0791,138,4390,0
134,TCP,6,2,1,0.5914,24,587,0
961,HTTP,3,1,0,0.028,148,1475,0
759,ICMP,6,2,0,0.472,18,654,0
2157,ICMP,12,20,1,0.9897,5,352255,1
982,TCP,1,0,0,0.1428,70,4866,0
1446,UDP,2,1,0,0.1863,100,2061,0
152,UDP,9,4,1,0.5642,18,778,0
741,HTTP,2,1,0,0.058,133,2011,0
469,HTTP,3,0,0,0.2434,149,1579,0
267,UDP,2,0,0,0.0296,100,4486,0
1187,HTTP,3,1,0,0.0278,103,2446,0
1310,HTTP,1,1,0,0.2087,87,4180,0
1142,TCP,3,1,0,0.1978,40,1785,0
383,HTTP,3,1,0,0.1578,114,1366,0
707,TCP,2,0,0,0.1299,156,3459,0
1200,HTTP,2,0,0,0.1122,139,2553,0
786,UDP,3,1,0,0.0967,32,1522,0
316,UDP,8,2,1,0.6354,17,651,0
1004,HTTP,1,1,0,0.0125,174,1915,0
268,UDP,3,1,0,0.0941,139,1262,0
738,HTTP,1,1,0,0.1383,166,4905,0
5831,ICMP,22,17,1,0.8958,3,239853,1
157,HTTP,1,1,0,0.221,69,3406,0
105,UDP,7,5,1,0.6794,17,748,0
1212,HTTP,2,0,0,0.1363,81,616,0
387,ICMP,4,4,1,0.5716,16,232,0
1497,UDP,2,1,0,0.1094,40,4039,0
501,TCP,6,3,0,0.4454,26,597,0
1121,HTTP,1,1,0,0.0621,53,3768,0
780,TCP,3,0,0,0.1953,40,754,0
462,TCP,3,0,0,0.1538,39,3446,0
260,HTTP,2,0,0,0.2161,32,4214,0
1310,UDP,2,1,0,0.2318,174,4566,0
965,TCP,1,0,0,0.0828,149,4817,0
7553,TCP,21,17,1,0.9649,8,129704,1
896,UDP,2,0,0,0.2162,45,1848,0
552,UDP,1,0,0,0.0933,66,4684,0
686,ICMP,6,3,0,0.6302,19,479,0
553,HTTP,1,0,0,0.0217,100,3772,0
656,UDP,9,2,0,0.4143,14,771,0
310,UDP,2,0,0,0.1428,142,4652,0
393,TCP,5,5,1,0.5128,23,768,0
1055,HTTP,3,1,0,0.0746,62,1314,0
1278,HTTP,1,0,0,0.1221,150,658,0
1126,UDP,1,1,0,0.1859,133,4214,0
533,TCP,3,1,0,0.1108,62,1575,0
1280,TCP,2,0,0,0.0612,41,3795,0
297,TCP,3,0,0,0.0005,120,2891,0
1339,HTTP,3,0,0,0.0516,119,5000,0
1198,HTTP,3,0,0,0.0616,172,1528,0
5989,TCP,19,7,1,0.9922,4,187276,1
3058,TCP,14,10,1,0.9878,4,481244,1
306,TCP,2,0,0,0.1365,115,2110,0
394,UDP,4,4,1,0.6603,10,208,0
833,TCP,1,1,0,0.1463,43,4070,0
1330,HTTP,1,1,0,0.0926,66,1350,0
766,TCP,1,0,0,0.2094,135,3638,0
1102,UDP,3,1,0,0.0815,105,1542,0
350,TCP,3,1,0,0.0879,139,3076,0
262,TCP,1,1,0,0.1182,152,1896,0
89,TCP,3,0,0,0.0962,143,2524,0
431,UDP,1,0,0,0.1468,131,1130,0
1877,TCP,20,14,1,0.8502,5,435074,1
1156,HTTP,1,0,0,0.032,137,2568,0
876,HTTP,1,0,0,0.0605,155,4154,0
570,TCP,6,5,1,0.4036,30,518,0
1364,HTTP,3,1,0,0.2125,166,3758,0
1215,UDP,3,1,0,0.0783,90,3136,0
1080,TCP,3,1,0,0.1107,126,1831,0
801,UDP,1,1,0,0.2494,62,1600,0
1255,HTTP,1,1,0,0.0594,42,4738,0
588,UDP,1,1,0,0.1423,85,1132,0
630,HTTP,3,1,0,0.2383,142,1972,0
197,HTTP,1,0,0,0.0319,175,2367,0
7962,ICMP,25,7,1,0.8005,7,412757,1
1023,UDP,3,0,0,0.2163,135,3323,0
1450,TCP,3,0,0,0.129,171,1811,0
1347,TCP,2,1,0,0.0194,103,2420,0
536,HTTP,1,0,0,0.0024,130,2858,0
461,TCP,7,5,1,0.609,21,728,0
1102,UDP,1,0,0,0.0734,150,1548,0
90,HTTP,2,1,0,0.0835,75,2661,0
642,UDP,9,5,0,0.4688,9,444,0
115,TCP,2,0,0,0.2206,53,2548,0
610,HTTP,3,0,0,0.2025,168,1250,0
903,UDP,1,0,0,0.137,83,4437,0
442,TCP,9,2,1,0.5249,8,372,0
1443,HTTP,3,1,0,0.133,88,2527,0
214,TCP,6,5,1,0.4746,16,383,0
7027,TCP,13,16,1,0.9643,8,439936,1
654,TCP,4,4,1,0.4123,19,765,0
862,UDP,3,0,0,0.1221,99,4070,0
741,HTTP,2,1,0,0.241,172,4024,0
892,UDP,3,0,0,0.0237,56,1645,0
1373,TCP,2,0,0,0.0662,154,3372,0
192,HTTP,1,0,0,0.0914,80,4248,0
282,TCP,1,1,0,0.1099,95,958,0
639,HTTP,2,1,0,0.0507,98,699,0
1413,HTTP,2,1,0,0.1608,37,998,0
1490,HTTP,3,1,0,0.0779,159,3622,0
1066,TCP,1,1,0,0.0863,166,1852,0
1170,TCP,3,1,0,0.2247,148,617,0
473,UDP,8,5,1,0.5353,10,481,0
198,TCP,7,4,0,0.5919,26,468,0
583,ICMP,9,2,1,0.4826,23,123,0
1465,UDP,1,0,0,0.1911,84,1099,0
888,TCP,2,1,0,0.0262,141,2996,0
3507,ICMP,19,16,1,0.8801,4,470182,1
955,TCP,3,1,0,0.154,167,4460,0
195,HTTP,1,1,0,0.0667,103,1815,0
705,TCP,9,2,1,0.4028,7,529,0
1475,TCP,2,0,0,0.2261,114,1950,0
1243,HTTP,1,1,0,0.0943,127,4079,0
291,UDP,3,0,0,0.158,177,2481,0
262,TCP,8,4,1,0.4462,11,624,0
739,UDP,3,0,0,0.0654,122,2435,0
1076,TCP,1,0,0,0.0304,126,3333,0
74,UDP,3,0,0,0.1005,32,1330,0
772,TCP,1,1,0,0.058,49,3290,0
742,HTTP,1,1,0,0.1459,36,4387,0
558,HTTP,3,0,0,0.2076,100,3216,0
1459,UDP,3,0,0,0.1205,96,1053,0
530,TCP,2,1,0,0.1935,112,2707,0
3645,ICMP,22,7,1,0.9415,2,338889,1
636,UDP,5,2,0,0.5695,7,439,0
593,HTTP,3,0,0,0.1509,145,4612,0
621,HTTP,2,0,0,0.2407,142,1147,0
901,HTTP,2,1,0,0.1775,143,4503,0
1225,UDP,3,0,0,0.0433,49,4486,0
7519,TCP,14,7,1,0.9639,1,74577,1
853,UDP,3,1,0,0.1782,159,1707,0
363,UDP,1,1,0,0.2388,50,3337,0
259,HTTP,2,1,0,0.1379,55,892,0
1769,ICMP,24,10,1,0.8164,1,346189,1
1413,HTTP,2,0,0,0.1744,180,3351,0
312,ICMP,4,4,0,0.636,21,197,0
8689,TCP,15,16,1,0.7959,1,345820,1
120,TCP,3,1,0,0.0267,59,2171,0
